13:03:55:347 [01192] | INFO  | Redirecting D3D11CreateDevice(pAdapter = 00C89950, DriverType = 0, Software = 00000000, Flags = 0x29, pFeatureLevels = 00000000, FeatureLevels = 0, SDKVersion = 7, ppDevice = 00199234, pFeatureLevel = 00199220, ppImmediateContext = 00000000) ...
13:03:55:347 [01192] | INFO  | > Passing on to D3D11CreateDeviceAndSwapChain:
13:03:55:347 [01192] | INFO  | Redirecting D3D11CreateDeviceAndSwapChain(pAdapter = 00C89950, DriverType = 0, Software = 00000000, Flags = 0x29, pFeatureLevels = 00000000, FeatureLevels = 0, SDKVersion = 7, pSwapChainDesc = 00000000, ppSwapChain = 00000000, ppDevice = 00199234, pFeatureLevel = 00199220, ppImmediateContext = 00000000) ...
13:03:55:360 [01192] | INFO  | > Using feature level 0xb000.
13:03:55:361 [01192] | WARN  | Skipping device because it uses the Microsoft Basic Render Driver.
13:03:55:381 [14852] | INFO  | Redirecting CreateDXGIFactory(riid = {7B7166EC-21C7-44AE-B21A-C9AE321AE369}, ppFactory = 07B9EBA0) ...
13:03:55:381 [14852] | INFO  | > Passing on to CreateDXGIFactory1:
13:03:55:382 [14852] | INFO  | Redirecting CreateDXGIFactory1(riid = {7B7166EC-21C7-44AE-B21A-C9AE321AE369}, ppFactory = 07B9EBA0) ...
13:03:55:382 [01192] | INFO  | Installing delayed hooks for "C:\WINDOWS\system32\d2d1.dll" (Just loaded via LoadLibrary("API-MS-WIN-CORE-WINRT-STRING-L1-1-0.DLL")) ...
13:03:55:382 [01192] | INFO  | > Found 2 match(es). Installing ...
13:03:55:625 [14852] | INFO  | Redirecting CreateDXGIFactory(riid = {7B7166EC-21C7-44AE-B21A-C9AE321AE369}, ppFactory = 07B9EBA0) ...
13:03:55:626 [14852] | INFO  | > Passing on to CreateDXGIFactory1:
13:03:55:626 [14852] | INFO  | Redirecting CreateDXGIFactory1(riid = {7B7166EC-21C7-44AE-B21A-C9AE321AE369}, ppFactory = 07B9EBA0) ...
13:04:00:919 [01192] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FA38 { Afx:00400000:820:00010003:00000000:00000000 }) ...
13:04:01:527 [01192] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FA24 { Afx:00400000:0:00010003:00000000:00000000 }) ...
13:04:01:527 [01192] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'Afx:00400000:0:00010003:00000000:00000000'.
13:04:11:641 [01192] | INFO  | Exiting ...
13:04:11:649 [01192] | INFO  | Uninstalling 39 hook(s) ...
13:04:12:733 [01192] | INFO  | Finished exiting.
