12:55:09:308 [14744] | INFO  | Redirecting CreateDXGIFactory1(riid = {50C83A1C-E072-4C48-87B0-3630FA36A6D0}, ppFactory = 0019AD58) ...
12:55:09:342 [14744] | INFO  | Redirecting D3D11CreateDevice(pAdapter = 055D6E60, DriverType = 0, Software = 00000000, Flags = 0x29, pFeatureLevels = 00000000, FeatureLevels = 0, SDKVersion = 7, ppDevice = 0019ABAC, pFeatureLevel = 0019AB98, ppImmediateContext = 00000000) ...
12:55:09:343 [14744] | INFO  | > Passing on to D3D11CreateDeviceAndSwapChain:
12:55:09:343 [14744] | INFO  | Redirecting D3D11CreateDeviceAndSwapChain(pAdapter = 055D6E60, DriverType = 0, Software = 00000000, Flags = 0x29, pFeatureLevels = 00000000, FeatureLevels = 0, SDKVersion = 7, pSwapChainDesc = 00000000, ppSwapChain = 00000000, ppDevice = 0019ABAC, pFeatureLevel = 0019AB98, ppImmediateContext = 00000000) ...
12:55:09:359 [14744] | INFO  | > Using feature level 0xb000.
12:55:09:359 [14744] | WARN  | Skipping device because it uses the Microsoft Basic Render Driver.
12:55:09:376 [14744] | INFO  | Installing delayed hooks for "C:\WINDOWS\system32\d2d1.dll" (Just loaded via LoadLibrary("API-MS-WIN-CORE-WINRT-STRING-L1-1-0.DLL")) ...
12:55:09:383 [14744] | INFO  | > Found 2 match(es). Installing ...
12:55:09:394 [06812] | INFO  | Redirecting CreateDXGIFactory(riid = {7B7166EC-21C7-44AE-B21A-C9AE321AE369}, ppFactory = 077DE4E0) ...
12:55:09:395 [06812] | INFO  | > Passing on to CreateDXGIFactory1:
12:55:09:395 [06812] | INFO  | Redirecting CreateDXGIFactory1(riid = {7B7166EC-21C7-44AE-B21A-C9AE321AE369}, ppFactory = 077DE4E0) ...
12:55:09:530 [06812] | INFO  | Redirecting CreateDXGIFactory(riid = {7B7166EC-21C7-44AE-B21A-C9AE321AE369}, ppFactory = 077DE4E0) ...
12:55:09:531 [06812] | INFO  | > Passing on to CreateDXGIFactory1:
12:55:09:531 [06812] | INFO  | Redirecting CreateDXGIFactory1(riid = {7B7166EC-21C7-44AE-B21A-C9AE321AE369}, ppFactory = 077DE4E0) ...
12:55:14:066 [14744] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FA18 { Afx:00400000:820:00010003:00000000:00000000 }) ...
12:55:14:943 [14744] | INFO  | Exiting ...
12:55:14:944 [14744] | INFO  | Uninstalling 39 hook(s) ...
12:55:16:089 [14744] | INFO  | Finished exiting.
