10:25:04:909 [11100] | INFO  | Redirecting D3D11CreateDevice(pAdapter = 05683E30, DriverType = 0, Software = 00000000, Flags = 0x29, pFeatureLevels = 00000000, FeatureLevels = 0, SDKVersion = 7, ppDevice = 0019ABD4, pFeatureLevel = 0019ABC0, ppImmediateContext = 00000000) ...
10:25:04:909 [11100] | INFO  | > Passing on to D3D11CreateDeviceAndSwapChain:
10:25:04:910 [11100] | INFO  | Redirecting D3D11CreateDeviceAndSwapChain(pAdapter = 05683E30, DriverType = 0, Software = 00000000, Flags = 0x29, pFeatureLevels = 00000000, FeatureLevels = 0, SDKVersion = 7, pSwapChainDesc = 00000000, ppSwapChain = 00000000, ppDevice = 0019ABD4, pFeatureLevel = 0019ABC0, ppImmediateContext = 00000000) ...
10:25:04:918 [11100] | INFO  | > Using feature level 0xb000.
10:25:04:918 [11100] | WARN  | Skipping device because it uses the Microsoft Basic Render Driver.
10:25:04:928 [07344] | INFO  | Redirecting CreateDXGIFactory(riid = {7B7166EC-21C7-44AE-B21A-C9AE321AE369}, ppFactory = 0597E4E0) ...
10:25:04:928 [07344] | INFO  | > Passing on to CreateDXGIFactory1:
10:25:04:929 [07344] | INFO  | Redirecting CreateDXGIFactory1(riid = {7B7166EC-21C7-44AE-B21A-C9AE321AE369}, ppFactory = 0597E4E0) ...
10:25:04:929 [11100] | INFO  | Installing delayed hooks for "C:\WINDOWS\system32\d2d1.dll" (Just loaded via LoadLibrary("API-MS-WIN-CORE-WINRT-STRING-L1-1-0.DLL")) ...
10:25:04:930 [11100] | INFO  | > Found 2 match(es). Installing ...
10:25:05:051 [07344] | INFO  | Redirecting CreateDXGIFactory(riid = {7B7166EC-21C7-44AE-B21A-C9AE321AE369}, ppFactory = 0597E4E0) ...
10:25:05:052 [07344] | INFO  | > Passing on to CreateDXGIFactory1:
10:25:05:052 [07344] | INFO  | Redirecting CreateDXGIFactory1(riid = {7B7166EC-21C7-44AE-B21A-C9AE321AE369}, ppFactory = 0597E4E0) ...
10:25:10:588 [11100] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FA38 { Afx:00400000:820:00010003:00000000:00000000 }) ...
10:25:12:252 [11100] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FA24 { Afx:00400000:0:00010003:00000000:00000000 }) ...
10:25:12:252 [11100] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'Afx:00400000:0:00010003:00000000:00000000'.
10:25:13:834 [11100] | INFO  | Exiting ...
10:25:13:836 [11100] | INFO  | Uninstalling 39 hook(s) ...
10:25:14:917 [11100] | INFO  | Finished exiting.
